College Name,College Address,College Contact,College Rating,College Likes,College Follow,College Website,College Type,Open Hours
Colleges Nepal,"Putalisadak (1.07 mi) Kathmandu, Nepal Get Directions",01-4239740,4.6,"116,381 people like this","133,498 people follow this",www.collegesnepal.com,College & University,Hours 9:00 AM - 5:00 PMOpen Now
CollegesNepal,Not Found,Not Found,Not Found,280 people like this,282 people follow this,www.collegesnepal.com/cn,Education,Not Found
PRIME COLLEGE,"Khusibun, Nayabazar (0.51 mi) Kathmandu, Nepal 44611Get Directions",01-4361690 Ext 4390072,4.5,"19,657 people like this","22,577 people follow this",www.prime.edu.np,College & University · School,Hours 6:00 AM - 5:00 PMOpen Now
Calvary Chapel Bible College Nepal,"Thasikhel (3.42 mi) Lalitpur, Nepal Get Directions",Not Found,Not Found,"1,086 people like this","1,077 people follow this",www.ccbcnepal.com,School,Hours 9:00 AM - 3:30 PMOpen Now
USEF-Nepal EducationUSA Advising Center,"Gyaneswor (1.43 mi) Kathmandu, Nepal Get Directions",01-4414598,Not Found,"101,788 people like this","101,051 people follow this",www.educationusa.state.gov,Nonprofit Organization,Hours 10:00 AM - 4:00 PMOpen Now
Premier Schools and Colleges Exhibition Nepal,Not Found,Not Found,Not Found,"22,160 people like this","22,139 people follow this",www.afairs.com/microsite/pse,Education,Not Found
Nepal Medical College,Not Found,01-4911008,Not Found,"3,068 people like this","3,096 people follow this",www.nmcth.edu,College & University,Not Found
Nepal Orphans Home,Not Found,Not Found,Not Found,"3,419 people like this","3,333 people follow this",Nepalorphanshome.org,Nonprofit Organization,Not Found
Maya Universe Academy,"Byas 4 (64.32 mi) Tanahun, Nepal 33900Get Directions",981-4117106,4.8,"7,236 people like this","7,179 people follow this",www.mayauniverseacademy.org,Community College · Youth Organization,Hours Always Open
Nepal Ayurved Medical College and Teaching Hospital,Bhansar area (54.39 mi) Birgunj 44300Get Directions,051-529373,4.3,"2,084 people like this","2,088 people follow this",www.namc.edu.np,Hospital · College & University · School,Hours Always Open
Ski and Snowboarding Foundation Nepal,"Sachetan Marga-34, New Baneshwor (2.46 mi) Kathmandu, Nepal Get Directions",Not Found,5,"8,070 people like this","8,091 people follow this",www.skisnowboardnepal.com,Specialty School · Ski Resort · Community,Not Found
"National Medical College & Teaching Hospital, Birgunj, Nepal",National Medical College & Teaching Hospital (54.92 mi) Birgunj 44300Get Directions,051-524320,4.1,"8,798 people like this","8,823 people follow this",www.nmcbir.edu.np,Medical School · Hospital,Not Found
IT-College Nepal,Not Found,Not Found,Not Found,826 people like this,826 people follow this,www.itcollegenepal.com,Website,Not Found
Shechen Monastery Nepal,"Boudha (3.17 mi) Kathmandu, Nepal Get Directions",Not Found,Not Found,"5,238 people like this","5,492 people follow this",www.shechen.org,Religious Organization,Hours Always Open
All-In-Nepal,"Thamel (0.38 mi) Kathmandu, Nepal 00977Get Directions",01-2297356,4.1,"2,111 people like this","2,110 people follow this",www.allinnepal.com,Community College · Tour Agency,Not Found
Nepal Medical College,Not Found,Not Found,Not Found,850 people like this,848 people follow this,www.nmcth.edu,Organization,Not Found
Manasarovar Academy Nepal,"Boudha (3.24 mi) Kathmandu, Nepal G.P.O Box No. 10062Get Directions",01-4486847,Not Found,831 people like this,837 people follow this,www.manasarovaracademy.org,College & University,Not Found
Don Bosco Institute/College - DB ThechoNepal,Not Found,Not Found,4.7,"1,360 people like this","1,356 people follow this",donbosco.edu.np,School,Not Found
"College of medical sciences(CMS/CoMS), Bharatpur, Nepal",Not Found,Not Found,Not Found,"4,231 people like this","4,244 people follow this",www.cmsnepal.edu.np,College & University,Not Found
Nepalese Student Association of The City College of New York,"160 Convent Ave (7,526.59 mi) New York, New York 10031Get Directions",+1 347-471-7333,5,557 people like this,561 people follow this,www.nsaccny.com,School · Nonprofit Organization,Opens ThursdayClosed Now
Smart Study Australia Nepal,"SAIM College Front Building, Level 2, Devkota Sadak, Mid-Baneshwor (2.30 mi) Kathmandu, Nepal 44600Get Directions",01-4105506,5,340 people like this,338 people follow this,www.smartstudyaustralia.com.au,Community College,Hours 9:30 AM - 5:30 PMOpen Now
"College of Biomedical Engineering and Applied Sciences, Nepal","854, Dhana Ganesh, Handigaun, Kathmandu (1.53 mi) Kathmandu, Nepal 44600Get Directions",01-4441467,4.6,"4,048 people like this","4,037 people follow this",www.biomedical.edu.np,Medical & Health · College & University,Not Found
"Balkumari college Narayanghart,Chitwan, Nepal.",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Modern Nepal College [MNC],"Sorhakhutte, Bahati Pokhari, Buddha Tole Marg, Nayabazar (0.48 mi) Kathmandu, Nepal 44600Get Directions",01-4355304,4.7,"2,823 people like this","2,832 people follow this",www.mncollege.edu.np,Private School · College & University,Hours 8:00 AM - 5:00 PMOpen Now
WLC College Nepal,Not Found,01-4782063,Not Found,"4,581 people like this","4,580 people follow this",www.wlccollege.edu.np,College & University,Not Found
Premier Schools and Colleges Exhibition Nepal,Not Found,Not Found,Not Found,"22,160 people like this","22,139 people follow this",www.afairs.com/microsite/pse,Education,Not Found
Nepal Medical College,Not Found,01-4911008,Not Found,"3,068 people like this","3,096 people follow this",www.nmcth.edu,College & University,Not Found
"Campion College - Kathmandu, Nepal","kupondole,lalitpur (1.62 mi) Lalitpur, Nepal Get Directions",01-5521753 Ext 5531432,4.1,"13,958 people like this","13,959 people follow this",cgeducation.com.np/campion_college.php,High School · Community College,Hours Always Open
"National Law College ( NaLC ), Nepal","Sanepa Height (253.19 mi) Lalitpur, Nepal Get Directions",01-5013093,Not Found,"6,553 people like this","6,533 people follow this",www.nalcnepal.com,College & University,Not Found
Nepal Engineering College,NEC Marga (8.05 mi) Bhaktapur 977Get Directions,01-5221006,Not Found,"1,856 people like this","1,851 people follow this",www.nec.edu.np,College & University · School,Hours 7:30 PM - 2:45 PMOpen Now
Nepal College of Travel and Tourism Management(NCTTM),"Ratopul (1.85 mi) Kathmandu, Nepal 00977Get Directions",+977-4465930,4.3,"11,599 people like this","11,564 people follow this",www.ncttm.edu.np,College & University,Hours 9:00 AM - 5:00 PMOpen Now
"New Horizon College,Butwal, Nepal",Not Found,071562451,5,"6,200 people like this","6,208 people follow this",www.newhorizon.edu.np,School,Not Found
Precious National Academy & College Nepal,Not Found,01-4353290,Not Found,"1,160 people like this","1,155 people follow this",www.preciouscollege.edu.np,Education,Not Found
ISMT College,"Tinkune,Gairigaun (2.86 mi) Kathmandu, Nepal 44600Get Directions",Not Found,4.5,"287,715 people like this","287,467 people follow this",www.ismt.edu.np,College & University,Hours 7:00 AM - 5:00 PMOpen Now
King's College,"Bijuli Bazar (2.03 mi) Kathmandu, Nepal 44660Get Directions",01-4224520,4.3,"69,912 people like this","69,761 people follow this",www.kingscollege.edu.np,Community College,Hours 6:30 AM - 4:30 PMOpen Now
Quest International College,"Gwarko (3.43 mi) Lalitpur, Nepal 977Get Directions",Not Found,4.2,"74,469 people like this","74,509 people follow this",www.quest.edu.np,Community College · School,Not Found
Atossc Nepal Pvt. Ltd. - College Search,"Putalisadak (1.01 mi) Kathmandu, Nepal 44605Get Directions",01-4242631,4.9,"22,180 people like this","22,158 people follow this",www.atossc.com.au,Consulting Agency · Educational Consultant,Hours 10:00 AM - 6:00 PMOpen Now
Nepal Tourism and Hotel Management College,Not Found,Not Found,Not Found,"3,884 people like this","3,894 people follow this",www.nthmc.edu.np,Community College,Not Found
ICHM Nepal - A College for Professional,"Pingalasthan, Gaushala (Behind Pashupati Vision Complex) (2.38 mi) Kathmandu, Nepal 44621Get Directions",+977 1-4113789 / 4113790,3.9,"9,469 people like this","9,468 people follow this",www.ichm.edu.np,College & University · School,Hours 7:00 AM - 5:00 PMOpen Now
Softwarica College of IT & E-commerce,"Dillibazar, Mahakabi Marg (1.37 mi) Kathmandu, Nepal 44600Get Directions",01-4441577 Ext 4425661,4.7,"314,727 people like this","314,277 people follow this",www.softwarica.edu.np,College & University,Not Found
Kantipur Engineering College,"Dhapakhel (5.48 mi) Lalitpur, Nepal 44600Get Directions",Not Found,4.5,"19,893 people like this","19,901 people follow this",kec.edu.np,College & University · Engineering Service,Opens SundayClosed Now
Rungta - R1 College Information Center Nepal,"Bagbazar Road (1.07 mi) Kathmandu, Nepal 44600Get Directions",985-1207452,5,"10,120 people like this","10,119 people follow this",rungta.ac.in,School,Hours Always Open
Nicholson College Nepal,Not Found,984-1334522,Not Found,"1,061 people like this","1,063 people follow this",nicholson.edu.np,College & University · School,Not Found
"Premier College, New Baneshwor,Kathmandu, Nepal",Not Found,Not Found,Not Found,"2,437 people like this","2,437 people follow this",www.premiercollege.edu.np,College & University,Not Found
College Handsome Nepal,Not Found,Not Found,Not Found,"3,744 people like this","3,735 people follow this",Not Found,Media · Performance & Event Venue,Not Found
APEX College,"1261 Devkota Sadak, Old baneshwor, Kathmandu, Nepal (1.99 mi) Kathmandu, Nepal 44600Get Directions",01-4478841,4.6,"255,791 people like this","255,721 people follow this",www.apexcollege.edu.np,Campus Building · School · College & University,Hours 6:00 AM - 5:00 PMOpen Now
Samajik College,Lokanthali (4.19 mi) Bhaktapur Get Directions,01-6638497,4.4,"48,202 people like this","48,184 people follow this",samajikcollege.edu.np,College & University,Not Found
Miss College Nepal,Not Found,Not Found,Not Found,"3,843 people like this","3,854 people follow this",Not Found,Performance Art,Not Found
Hello Nepal Administrative Staff College,Not Found,Not Found,Not Found,"4,429 people like this","4,432 people follow this",www.nasc.org.np,Public & Government Service · College & University,Not Found
Top college in Nepal,Not Found,01-4432892,5,456 people like this,457 people follow this,college.top-nepal.com,Educational Consultant · Consulting Agency,Not Found
IIFT-Nepal,"Bagbazar Plaza (0.92 mi) Kathmandu, Nepal Get Directions",985-1097042,4.4,"38,059 people like this","38,252 people follow this",www.iiftnepal.com,College & University · Fashion Company,Hours 7:00 AM - 5:00 PMOpen Now
Nepal Kasthamandap SS/College,Not Found,Not Found,5,Not Found,Not Found,Not Found,Not Found,Not Found
"Zenith International College(ZIC), Biratnagar, Nepal","fanindra marg, Tintoliya (148.32 mi) Biratnagar 56600Get Directions",021-524731,4.8,"1,097 people like this","1,094 people follow this",Not Found,College & University · High School,Not Found
"Birendra Memorial College Dharan, Nepal",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
College of Medical Sciences Nepal,Not Found,980-1998019,Not Found,"1,128 people like this","1,129 people follow this",www.cmsnepal.edu.np,Medical Company,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Best Colleges in Nepal,Not Found,Not Found,Not Found,175 people like this,174 people follow this,Not Found,E-commerce Website,Not Found
Nepal College Of Management,"Dhobighat (2.65 mi) Lalitpur, Nepal +977Get Directions",Not Found,Not Found,768 people like this,769 people follow this,www.ncm.edu.np,Community College · School,Opens SundayClosed Now
"Lincoln College, Kathmandu, Nepal",Not Found,01-4382774,Not Found,758 people like this,756 people follow this,Not Found,College & University,Not Found
Indreni College,"Muktinagar (53.23 mi) Bharatpur, Nepal Get Directions",056-525246,5,"24,356 people like this","24,344 people follow this",www.indrenicollege.edu.np,Community College,Not Found
Synapse 2018 - All Nepal Medical College Meet,Not Found,9844152724,5,"1,953 people like this","1,955 people follow this",Not Found,Festival,Not Found
National College,"Dhumbarahi (2.40 mi) Kathmandu, Nepal 00977Get Directions",01-4420871,4.7,"21,708 people like this","21,709 people follow this",www.nationalcollege.edu.np,Community College,Not Found
Khwopa College,Not Found,Not Found,4.4,"16,044 people like this","16,041 people follow this",www.khwopacollege.edu.np,Community College,Not Found
Nepal Darshan College,Not Found,Not Found,Not Found,929 people like this,929 people follow this,fb.me/NepalDarshan2055,Education,Not Found
Nepal Business College,Not Found,Not Found,Not Found,"4,587 people like this","4,588 people follow this",nbc.edu.np,College & University,Not Found
"Shree Medical and Technical College, Bharatpur, Nepal",Not Found,Not Found,Not Found,"1,721 people like this","1,722 people follow this",www.shreemedical.edu.np,Product/Service,Not Found
Universal College,"Shantinagar, Tinkune, Kathmandu (2.73 mi) Kathmandu, Nepal 00977Get Directions",01-4620524,4.6,"20,953 people like this","20,948 people follow this",www.uc.edu.np,College & University · School,Hours 6:30 AM - 5:00 PMOpen Now
Nepal Engineering College 016 batch,Changunarayan-11 (7.95 mi) Bhaktapur 01Get Directions,Not Found,Not Found,895 people like this,900 people follow this,www.nec.edu.np,Community College,Hours Always Open
Nepal College of Development Studies,Not Found,014154313,5,"1,707 people like this","1,709 people follow this",www.ncds.edu.np,Education,Hours 6:45 AM - 3:00 PMOpen Now
Informatics College Pokhara,"Lions Building, Matepani-12 (Near Gandaki Hospital), Pokhara, Kaski, Nepal (87.09 mi) Pokhara 33700Get Directions",061-538115,4.8,"42,853 people like this","42,826 people follow this",www.icp.edu.np,Community College,Hours 7:00 AM - 5:00 PMOpen Now
Triton International College,"Subidhanagar (3.00 mi) Kathmandu, Nepal 44600Get Directions",01-5104529 Ext 5104450,4.4,"92,797 people like this","92,784 people follow this",www.triton.edu.np,High School · College & University,Not Found
All Nepal College of Technical Education,"Gaushala, Battisputali, Kathmandu Nepal (Back gate of Dwrika Hotal) (1.95 mi) Kathmandu, Nepal 44600Get Directions",01-4470205,5,"3,380 people like this","3,383 people follow this",www.allnepal.edu.np,Community College,Not Found
Trinity International SS/College,"Dillibazar (1.17 mi) Kathmandu, Nepal 00977Get Directions",977 1 4445955/56,4.5,"11,650 people like this","11,734 people follow this",www.trinitycollege.edu.np,School · College / University Bookstore,Not Found
NAMI College,"Jorpati (4.51 mi) Kathmandu, Nepal 44600Get Directions",4917444,4.5,"31,209 people like this","31,190 people follow this",nami.edu.np,College & University,Hours 7:30 AM - 5:00 PMOpen Now
Nepal Engineering College - Entrance 2018,Not Found,015221006,Not Found,"11,769 people like this","11,754 people follow this",Not Found,"Science, Technology & Engineering",Not Found
Enam Medical College Nepal Admission,Not Found,985-1031911,Not Found,712 people like this,711 people follow this,emcbd.com,Education,Not Found
Nepalese Army Institute of Health Sciences-College Of Nursing,Not Found,Not Found,Not Found,"2,941 people like this","2,944 people follow this",naihs-con.com,Education,Not Found
Nepal Mega College,Not Found,Not Found,Not Found,"3,143 people like this","3,128 people follow this",Not Found,Education,Not Found
"Universal College of Nursing Sciences,Bhairahawa,Nepal",UCMS (114.97 mi) Bhairahawa Get Directions,Not Found,4,"1,979 people like this","1,983 people follow this",www.ucms.com.np/index.php/programs/b-sc-nursing,Medical & Health · College & University,Not Found
Rajdhani Model College,"Devkota Marga, Old Baneshor (2.08 mi) Kathmandu, Nepal P.O.B. 9327.Get Directions",01-4471162,4.5,"4,318 people like this","4,312 people follow this",www.rmccollege.edu.np,College & University,Hours 6:30 AM - 5:30 PMOpen Now
"College of Dental Science & Hospital, Nepal Medical College - Codsh-Nmc",Not Found,01-4916132,Not Found,"2,310 people like this","2,313 people follow this",www.nmcth.edu,Medical Company,Not Found
"Atharva Business College, Kathmandu, Nepal","Bansabari, Maharajgunj (2.76 mi) Kathmandu, Nepal Get Directions",01-4372966,4.3,"6,241 people like this","6,221 people follow this",www.atharvacollege.edu.np,College & University,Hours 6:00 AM - 4:00 PMOpen Now
Build up Nepal,"Mitra Marg (2.43 mi) Patan, Nepal 44701Get Directions",01-5261003,4.8,"63,378 people like this","63,589 people follow this",www.buildupnepal.com,Company,Hours 9:00 AM - 5:00 PMOpen Now
Nepal Rastriya higher Secondary School-NR College,Not Found,014366262/4350469,Not Found,"1,129 people like this","1,132 people follow this",Not Found,Education,Not Found
Kantipur City College(KCC),Not Found,+977-4430239,Not Found,"44,576 people like this","44,544 people follow this",www.kcc.edu.np,Community,Not Found
Nepal Law Campus,"Bhrikutimandap (0.97 mi) Kathmandu, Nepal 44600Get Directions",01-4225358,4.5,"6,549 people like this","6,592 people follow this",www.nlc.edu.np,College & University · Legal,Not Found
Gandaki Medical College,Not Found,061-550253,Not Found,"4,266 people like this","4,275 people follow this",www.gmc.edu.np,Medical Company,Not Found
Nepal Commerce Campus (NCC),"Minbhawan,New Baneshwor-34 (2.54 mi) Kathmandu, Nepal 44600Get Directions",+977 - 01- 4107044 / 4107048,4.7,"8,791 people like this","8,794 people follow this",ncc.edu.np,College & University,Hours 6:00 AM - 7:00 PMOpen Now
Nepal Darshan College,Not Found,Not Found,Not Found,414 people like this,410 people follow this,Not Found,College & University,Not Found
Itahari International College,Not Found,Not Found,5,Not Found,Not Found,Not Found,Not Found,Not Found
NEPal Engineering CoLlege ConfessioN,Not Found,Not Found,Not Found,"1,486 people like this","1,487 people follow this",Not Found,Community Organization,Not Found
